,SalePrice,GrLivArea
1,181500,1262
7,200000,2090
9,118000,1077
12,144000,912
15,132000,854
16,149000,1004
19,139000,1339
21,139400,1108
23,129900,1060
24,154000,1060
26,134800,900
28,207500,1600
29,68500,520
31,149350,1228
37,153000,1297
38,109000,1057
41,170000,1328
42,144000,884
43,130250,938
44,141000,1150
49,127000,955
50,177000,1470
51,114500,1176
59,124900,780
61,101000,1111
63,140000,1710
68,80000,747
70,244000,2223
71,129500,845
73,144900,1086
74,107400,1605
76,135750,952
79,110000,1230
80,193500,2142
92,163500,964
93,133900,2291
95,185000,1470
100,205000,1610
106,100000,1047
108,115000,1517
109,190000,1844
114,259500,2320
122,136000,1080
125,84500,754
127,87000,840
129,150000,1053
130,226000,2157
132,150750,1327
134,180000,1721
135,174000,1682
146,105000,875
150,122000,969
153,235000,1252
156,109500,1040
160,162500,1232
163,103200,882
164,152000,1616
165,127500,1355
169,228000,1707
170,128500,1382
172,239000,1767
175,243000,2158
179,100000,968
181,200100,1802
182,120000,1340
184,127000,1252
185,475000,3608
187,135000,1656
190,315000,2727
191,184000,1479
194,127000,864
195,148500,1456
198,104000,2229
201,171500,1279
202,112000,1310
204,110000,1284
209,145000,1092
210,98000,864
214,161750,1392
215,134450,1236
218,311500,1954
222,179900,1552
223,97000,864
227,106000,987
230,148000,1194
233,128200,894
237,194500,1744
241,110500,866
243,120000,1217
246,137000,1928
249,277000,2144
253,158000,1302
254,145000,1314
262,151000,1212
263,130000,1316
265,175500,1422
267,179500,2192
268,120500,778
269,148000,1113
271,241500,1363
272,290000,2270
273,139000,1632
274,124500,816
275,205000,1548
280,228500,1982
286,159000,1734
289,153575,1396
291,135900,1716
293,235000,2263
295,142500,1003
298,175000,1743
299,158500,1152
303,149900,894
304,295000,3493
307,89500,1406
311,132000,972
312,119900,1118
314,178000,1641
316,260000,2353
323,126175,1163
324,242000,2978
325,87000,803
328,214500,2134
331,139000,1056
335,228950,1786
338,202500,1621
339,155000,1215
346,151500,958
352,95000,1111
353,105900,720
356,173000,1167
360,156000,912
363,118000,987
365,147000,1344
368,132000,1268
369,162000,1287
373,123000,1319
380,127000,1691
387,125000,1125
390,119000,1367
392,106500,882
394,109000,1034
395,129000,1144
402,108000,672
407,177000,1680
413,115000,1028
416,149500,1400
417,239000,2624
418,126000,1134
419,142000,1056
421,215000,1602
425,135000,1389
427,109008,907
431,79900,1198
434,81000,630
435,212000,1661
436,116000,1118
437,119000,904
438,90350,694
439,110000,1196
442,162900,1573
446,190000,1888
